review_text,prediction,targets
"Just had a big visual update but if anything the app is getting worse and worse. Now most of the time when I tap a plus sign to increase count of something, nothing happens. I have to drag down to refresh and then after it thinks for a minute it'll update the count. Or not, it kind of does what it wants at this point. I've mostly stopped using it because of this.",0,0
Fantastic and simple app,2,2
I bought the allegedly better version it worked for about a month. I had all my scheduled stuff about 6 months and all of a sudden the disappeared which sucks.,1,1
It Is a very handy app but the fact that premium is required to enable reminders kills the productivity boost I wanted to achieve,1,2
Manage subscription is not given in the app menu,0,0
"This app is beautiful, and has really helped me keep my business, large family, homeschool and church activities all in order! No more chaos for this girl!",2,2
"Nice planner but you shouldn't have to pay to have ""week""view. I may not purchase now.",1,1
"It's a true mystery of life how Microsoft can take ANYTHING and make it look UGLY and NEEDLESSLY COMPLICATED. Why on Earth would they not simply leave Wunderlist as-is?? So they see nothing wrong, and decide ""Time to wreck it."" Who is going to save us when they finally shut Wunderlist down??",0,0
All I want is a calendar. This app spams you so much. 1 star,0,0
"A nice slick design, but ticked off tasks are displayed on the list of tasks I have to do. New tasks are also added to the bottom of the task list. This is annoying and I would like there to be a setting to adjust this.",1,1
"I had my phone switched off one day at the time my reminder usually pops up. Ever since then I've not got notifications at all, no matter if I try reset them or whatever. Kinda annoying because the calendar app on my phone has also stopped giving notifications lately so I keep forgetting to take my medication.",0,0
"How it SHOULD work is fantastic and perfect for me. But whenever I have my schedule laid out and planned, the app deletes them or forgets them and i have to start over, only to have them deleted again. I really really want to use it. Why does it make it so unable to?",0,0
"This is a loser. Upgraded to premium without my permission for a free trial, no option in the app to return to free option. And I'm maxed out on tasks ON the premium. Will delete before I pay for premium. Prior review: Migrated from Wunderlist seamlessly. Much more cumbersome compared to Wunderlist.",0,0
"Great app to keep tight training schedules and regimes. Premium isnt necessary, only downfall would be reminders notifications more than once",2,2
"Great app. I love this for my daily lists, shopping lists etc. I love it also has the sub lists with tasks. Would definately reccomend this app!",2,2
Exceptional!!! Works perfectly.,2,2
"Very nice app for productivity. My favorite feature is that tasks and dailies that are finished can he hidden. However, it requires connection too much. Wouldn't mind syncing from time to time but I'd really hope there could be a way to tick off tasks even offline. Also would love to see ""weeklies"" or something that doesn't reset everyday for goals like ""go to gym 3x this week"" or ""walk dogs 5x this week"". Integration of calendar events would also be nice.",2,2
Harus memasang kembali widget setelah memulai ulang agar data muncul. Sesuatu yang mendasar namun tidak ada di aplikasi ini.,1,0
Widget I add on home screen doesn't work when I'm offline.,1,1
"Can we have the lists back at the top of the page like Wunderlist, I don't need any of the options that take up the top half of my screen!",0,0
"this so help me to get focus ,youu guys much download this app ,see you guys in department of civil engineering bandung institute of technology i'll be there 📌",1,2
"Great app. However, I was not able to sync with Google calendar and it was a deal-breaker for me. Uninstalling...",1,1
Good,2,2
Those dots on the right of each item are gone. How do you reorder your to do items now?,1,1
"I recently switched over from the original business calendar app which I have been using for many years. This version has a fancier UI but functionally seems much the same as far as the calendar goes which is fine, if it ain't broke don't fix it! I think other features have been added but I don't really use them. Update: full screen ads suck. They appear and cannot be closed for a long time. Show me an ad if you must but let me close it, the free version is unusable this.",0,0
I was testing this to replace Fabulous. So far the notifications are not persistent enough. Fabulous is able to wake me up in the morning.,0,0
"2 things would persuade me to make this my task list: automatic synching 
via Google drive, and an Ike-like view (a 2 by 2 table showing urgent vs 
important tasks). It's good to be able to categorise tasks into lists but 
equally necessary to know where you need to spend your time. Google 
""Eisenhower matrix"" for ideas. Would also love to see a Chrome app for 
desktop use.",2,1
"I deleted a list but I still get alarms for one of the tasks in that list, even after restarting my phone.",0,0
"Loved this app, but recently noticed I really was't hearing the audio from notifications and for some unknown reason, although the notification volume for the pro version sounds loud at 100% system volume for notifications, this version (BC2) sounds half as loud, if that, to the point it's unusable because I rarely hear them. UPDATE: Just realized that for some odd reason BC2 calendar notification volume is mapped/linked to Ringtone volume and I had that lower than half volume. Please fix this.",0,0
good app that does it's supposed to. wish it had some improvements to make it great (suggestions in the in-app forum),2,1
I wanted a to do list.. this is not such.. continually asking to name things unnecessarily complicated ~ KISS,0,0
It alright,1,1
I couldn't understand it probably my fault but I find it complicate and I like to organize my day like without go and add on my calender just on this app but like I said it's probably my fault / gonna try this app again later maybe like after couple of different updates,1,0
"Their widgets had gotten better since my last review. I really appreciate the calendar with the tasks on the side! If there was a morning ""your day today"" or ""plan your day today"" alert in the morning, that would make it even better! I went to Any.do for that, but their calendar and sync to my waze app was off so I came back lol",2,2
"It is a great idea, don't get me wrong, but why the need for a chat room?",1,1
I have found this app helps me stick to my daily schedule.,2,2
Sometimes quits as it starts,1,1
This is the best to do list. Also growing your karma level is fun.,2,2
Wish it didnt have to connect to the calandar. I wanted to keep my phones calandar widget separate from this but its impossible. Disappointing.,0,0
"I just spent 30 minutes putting tasks into the app, then went to sync the app with my google account and they all got erased.",0,0
"Generally I liked this app but I found it very frustrating that I couldn't view all my tasks in one area, ie. Inbox. Or by by date. I had to go through each list individually.",1,1
"If you don't do any event today, it will not move to next day automatically. You have to manually click on event and give time and date again. I have to use task for this. I got it. It's good if time of tasks can also be shown on widget. Thanks!",1,2
Wow! I tried many apps like this. And in my experience this app is the best one! So easy to use! After other apps with too many options and not understandable design this app is perfect! You just click '+' and enter the name! That's all! Of course if you want you can add time and date and something else. I recommend!,2,2
"The interface is very nice and simple, however, once I got down to using it and setting some tasks(five tasks total), about an hour later I went back to the app to make edits, but instead saw the list of tasks that I have set were deleted. If the app has an issue saving the tasks, it needs to be fixed. I will change the rating once that bug is resolved.",0,0
Please fix the widget. It doesn't automatically update the day. It always shows yesterdays' date. Constantly having to remove and install widget.,0,0
"You can add one thing, when we'll touch on particular time period then the particular task should be displayed.",2,2
"Love the idea but the app is so buggy and not too user friendly at points. First off, I can't change my character when creating an account because nothing pops up. It's just missing so I end up with a female characters. I have Galaxys10 and tried reinstalling app but nope, seems to be just a bug. Also, changing outfits just seems terrible to scroll through (the not user friendly part) The Good Idea is amazing! I really want this app to improve so I can incorporate this into my daily life.",1,1
"Mostly works well, but I am rather disappointed with the syncing issues my wife and I are experiencing. I'm unsure as to what Microsoft has changed from the ""Wunderlist"" app that I've been forced to switch from, but this app does not work as quickly and nicely as wunderlist did, which I had been using for 2 to 3 years constantly because it worked so well. Please revise this app so that connectivity problems from servers can be solved. I am unable to sync some/all of my shared lists.",1,1
"Used it in the past and wasn't too happy with it. Tried it again, and now I have no idea why I didn't like it before. I especially love the integration of the to do /task list within the app. I use the Agenda view on the widget and couldn't be more pleased. As the title says, I love it! Several years later and still living it. Wouldn't think of changing it for anything. Rating dropped from 5 to 3 stars. Too many features removed with recent updates.",1,1
The is no default free tree. There are trees for tokens but you gain tokens by succesfully growing trees but you can only have an initial growable tree by buying one.,1,0
"Have been using the old Pro version on all my previous devices for years and liked it very much. Just started to use this new one not long ago. It has a more contemporary design, simplified and streamlined options, but the change in drag n drop in weekly view costs it a star.",2,2
It was decent but I remember having to tap so many times just to get it to record your progress. Not very streamlined.,1,1
not quite what i need. otherwise looks like a decent app,1,1
Doesn't even come close to Wunderlist or Any.do unless you pay.,0,0
"Doesn't seem to work on OP 6T, can go through character creation, but doesnt let me customize or select anything. half of the UI shows up blank.",0,0
Only 5 free without telling users upfront that you will have to PAY for more. Always about the money. Sorry I wasted time on setting this up.,0,0
👍,2,2
"Migrating from Wunderlist couldn't have been more painful. First I had to open Microsoft account just for this app. Then, importing from Wunderlist messed up owners, all lists that were shared to me ended up as mine, I had to re share them to the original owner again. Anyone invited to the list must have MS accounts, I had people leaving because of this. And I don't get any notifications when people add new tasks. It may look the same as Wunderlist, but the app is starting to annoy me...",1,1
"Very good app for focus, has helped me on more than one occasion. I will say though, the audio it plays, if you choose to play it, sometimes glitches out on my Galaxy S9. It will sometimes just shut off and refuse to play even when my volume is on and the sound option is on. Otherwise though, its a very good focus app, great for people like me who get easily distracted by their phones.",2,2
I have canceled for the subscription when at the first time i used anydo.  Do i still have to pay? i was try for free trial for the first i using this app.,0,0
best,2,1
Good,2,1
"This program does not work, PERIOD! Installed. Opened. Just sits there at the start screen, frozen and does nothing. No available controls or menu. Nothing. Do not use it. There is nothing to use.",0,0
"Too much spam. Stuff that I don't care for pops up on my screen all the time and blocking those also blocked the reminders I wanted the app for. Also, too many emails. I don't want more clutter to ""organize"" my life.",0,0
Does what I need it to do,2,2
Hi. App states its free. Yet there is a charge after 7 days. Dont mislead people,0,0
"Manca solo una visualizzazione in prospettiva degli eventi, che faccia capire bene quanto tempo occupano",2,1
I am facing sync issues. Yesterday I added a todo from my laptop chrome website. Today I didn't get it's notification on my phone. It's when I opened the app when I see that it's being added. This should have been done in the background.,0,1
"after few months it started not checking the task. I mean I check and few hours later it is unchecked. it should be cleared and the next date for the same task should be displayed, example: task 1 to date 01/jan/2019 and repeat task 1 to date 01/feb/2019. after checking the task for January the task for February should be displayed, but after some time the task for January is unchecked.",0,0
It never reminds even thought I've set the reminder,1,1
"I love this app! I can set times, and my tasks will appear in that order. I can set several reminders. When I click Done, the task goes to the bottom under Completed. The app keeps track of my productivity. I like that I can group my tasks in categories. I especially like that when I click on the date, all of my tasks automatically appear. I don't have to be overwhelmed by how much I have to do. I just take 1 task at a time. There's even a Promo timer embedded to help me stay on track.",2,2
So far I am enjoying it,2,2
"1) create 80 000 events to several exchange calendars 2) sync it with BC 2 mobile app 3) and you will see how ""perfect"" BC2 works All the time - ANR!! Thank you.",2,0
Very nice application!,2,2
The essence and notion of this application is not just to define activities from day to day basis but to remind us that its really not about perfection... Its about progress... This application teaches us not just to address holistically in our commitment and time management but also push drastically at the same time our attitude towards commitments.. Senior Project Engineer here... It really helps alot... Thank you.,2,2
"Still missing some things from wunderlist. Notably email reminders which I really miss (not always convenient to get reminders on my phone or install the app everywhere), email item to inbox, better sorting (and as an added improvement please remember sorting by folder) and add new task at top of list. A bit early to be claiming you can now do everything you could as clearly you can't. But hopefully getting there.",1,1
No Sweet Thanks,0,1
I hate this app. Shared lists aren't shared unless you send an invitation everytime you update the list. I want my Wunderlist back!,0,0
"We are missing a chat feature AND notification when a task is changed / completed / modified in shared lists. Any.do is pretty good for my personal use but even though we are both premium, we don't see any possibility of interaction with the - kind of interaction Wunderlist provides not just tiny notification WITHIN the app.",1,1
Terrible app it didn't let me put my whole schedule in and it insisted me to buy the premium version which I'm not going to do 4.99 for an app that doesn't even work that well no thanks bye . And it restarted my whole damn thing like wth bch.,0,0
very bad experience,0,0
"Havent been using it for a long time but so far so good. However, the paid version should have more features, such a costomizing your own categories. Also, the widget should be more customizable, such as font size.",2,2
Please tell me how to use the app,0,0
1. I didn't get the desktop icon. 2. We tried sharing for shopping but it didn't sync.,1,1
"The app idea is great on itself. However, there are too many options blocked behind the pro version which one would think are basic: whitelist and exporting the progress (changing phones makes all the progress be lost). Moreover, although not essential, some free achievements would also be nice, even if they don't give any coins. I'm willing to change my rating if I see any of those changes, since like I said, the app is quite good already (free version feels like less than a free trial...)",1,1
"The app started crashing recently whenever I try to use it, I press a button and it freezes completely and stops responding, I tried uninstalling and re-installing, at first it went okay (for 2 days) the the same thing happened again! It frustrated me, I'm not sure if I'm the only user facing this problem but I sure hope it gets fixed 😔😕",1,0
Was a great app...but could not login..since last month so...bye bye planner pro,0,0
"Been using for about a year. Getting more and more useful every day. Works well across Android, iPad, and Windows 10.",2,2
Excellent idea. Great for visual based learners,2,2
Reminders should be available for all.,1,1
Unable to edit time for reminder. S7,1,0
"I really like this, however I'm not able to stay with it for long periods of time. This one and others I've tried and I just can't stay motivated....",1,1
"Very easy to use. I have the free version. Connects with my Google calendar and I share with my partner. I do have to manually sync through, as it doesn't update automatically very well. Overall, very happy with this app.",2,2
Ok,1,2
"This app is a great idea and I love all the features. However, no matter what I set the day start time to for daily tasks to reset, they keep resetting at some seemingly random point in the middle of the day despite me having it at 2AM, which is causing all of my evening tasks and some of my midday tasks to fail as I haven't done them yet. I'm not sure if the app thinks I'm in a different time zone or what but it's very irritating. If they fix that it's 5 stars for sure.",1,1
Many times i've used the app for over 65 minutes and every time it'd just freeze and shut down when only 1 second is left. Doesn't plant the tree and doesn't give me the coins. I'm disappointed + upset that i still can't save up for the treehouse that i want.,0,0
"Highly user friendly, but the free version lacks some of the useful features...",1,1
"Great app, I really wish it had a break or timeout button for when I need to check a message or whatnot instead of making me kill the tree, but overall great app.",2,1
"Password reset is broken, cannot transfer it to a new cell phone. Think twice before buying this app. The habit-related side is good, however - this is why I bought it.",0,0
This app is actually good for daily routine. Things which I like :- 1. UI 2. Optimization 3. Functionality 4. Dark UI 5. No Ads 6. No charges,2,2
I really appreciate the format of this one. I just wish I could color code without paying extra.,2,2
Not Good App All u Need buy and clock facility not given,0,0
Pls add 24 hour view,1,1
It good,2,2
Kinda complicated. Still not used to it. I love the widgets though.,1,1
It is what I have looked for for some time. I wish it could sync'd across multiple devices.,2,2
"Missing some key features - having the ability to have the same task in multiple lists, and an 'undo' button to undo completions/deletions done by mistake.",1,1
Yes this is a great app. I like all the different variations and things I can tailor to my own needs.,2,2
This app is amazing. It would be better if the app was able to be used without internet though.,1,1
"Pretty solid app, does what it seems, but one problem for me is that the alarms don't go off when they're supposed to. Instead of going off at the time I set, they all go off next time I open the app. They never go off until I open the app, so they're useless.",0,0
This is a very creative app to keep me amused with my Versa 2 Fitbit and to keep me productive when doing tasks around the house. Excellent job creating this app keep up the great work!!Two thumbs up...👍👍😎🖤,2,2
"Great idea, but does not give notifications for me, which was really the thing I was looking for....",0,0
"I'm only two weeks in and purchased premium and killing it (even more than usual) at work. I love this program! I mostly use it on my desktop but it's great for when I think of things after hours, am on the road with my boss or walking out he office door and someone throws something my way I need to remember.",2,2
"I have used many habit trackers over the years, but this was the one that most suited me. It's simple and effective, and even the free version is really useful, the only drawback (for the free version) would be that you cannot track more than 5 habits, but I don't want to follow that many habits either way so it was a perfect match for me!",2,2
After unlocking the tree with sufficient coins the tree is not changing and irt remains fixed in green colour,1,1
Wow its used for my studies great please also set some features like more alarams,2,2
This game/app is so easy to use and so much fun. Thank u so much for making habitica!,2,2
Sharing lists doesn't work nearly as well as it did in Wunderlist. Otherwise ok.,1,1
"Good concept, works fine , helps to avoid phone addiction. But the problem with this app is that it crashes everytime when updated. Several times I installed and then uninstalled it. That led to loss of data and time. Tried your way , not available in my device. Problem still persists.",1,1
"Crippled version without even a way to purchase outright. EDIT: I'll be clearer. Many apps features are disabled. But there is no way to just buy the app. The only option is some ongoing payment subscription which makes no sense as this app does not provide any ongoing or backend service, it's just an app! and a simple one at that. It's like going to buy a water bottle and going to check out they take your credit card info and charge you the same price every year that you use the bottle. Bottom line, it's just a scummy business practice.",0,0
"I have been using the fully unlocked version of this application for over a year. This is a fantastic app! However, it lacks the capability to sync with outlook calendars. For example, if I have subscribed to my work outlook calendar in Google calendar, the events will not be synchronized with Sectograph. This would be fine if this was the documented behavior of this application. However, subscribed-outlook calendars are selectable from the calendar selection menu...",0,0
"Enough with the pop-up ads! I don't mind if an app has ads, but if I'm going to be interrupted by a 15 second video every 5 seconds while I'm checking off my list I'm deleting your app. And no, I'm not going to subscribe just because you keep popping up the subscription page. If I have to pay to make the app decently usable, you may as well require I pay for it to begin with.",0,0
"I really wanted to like this app, but it's just too buggy. Sometimes I open the app and it doesn't have the icons to switch views. Also the 12-hour formatting is really flawed. And the priority scale seems way too complex. High, medium, low should be enough for most people.",0,0
Don't offer to send notifications if you won't actually do it. That was the whole reason why I thought this would help me and it didn't. Will be uninstalling.,0,0
"Perfect for people who want to get organized and desire an app more robust than a checklist. It has profound customization ability. The reward system is more complex than competitors. For someone with significant attention issues, this has really helped me to feel invested. Subtasks and autofails are great features. Would be 5 stars if developers: 1. Allowed subtasks to renew as collapsible tasks not just tied in 2. Made tutorial/videos. Full functionality will be a learning curve for many",2,2
I dont like u use numbers instead of yes or no but it doesnt show any difference on the calendar eg color difference.,1,1
"Hard, to use",0,0
Great app...new adds not so much.,1,1
"love the tracking, love the accountability. I use the widget, but I dont like that you can't split habits into ""profile"" type structures. for example, an ""AM"" Routine list of check offs, and a ""PM"" Routine. maybe those and a list of habits you just want to complete daily at any time. that would be a game changer for me. I've considered other apps because of that one missing feature. I dont like how the widget groups every single habit Into one list. I want to split habits up between multiple.",1,1
"Long time user of this app, problem is it doesn't have a search feature. Or if it does I can't find it. Sometimes I forget where I filed my note or task (again longtime user) and then it takes me a while to go through all my files to figure out which title heading I put it under, but if it had a search feature I could quickly find it and get back to being productive. For this reason I gave it 4 stars because it has room for improvement.",2,2
"Do not have the account sync feature, how we backup data when we change device ?!",0,0
"Microsoft bought an already mature application, spent 4 years working on it, and this is all they have to show for it??? Perhaps they could add more technical resources to support the 2 high school students that currently support this product. Poorly integrated with Outlook. Simple... too simple. Has very few features or functionality.",0,0
The app is really good but there shouldn't be a premium version of this app it should be free.,2,2
All my habits ended on 29/12/2019. It was not linked to 30/12/2019. I dunno why?,0,0
"pretty good, so i can set my life straight on my daily good habits and positive impacts of my self motivation",2,2
I did like the app..after I'm reinstalling the app..what happens to my In app purchase..I had purchased the app..Rt now which I'm using is it the paid one or free one. Do I need to pay for premium again??,1,1
"Perfect... Simply... Perfect, this app flawless, I give 5 stars to this AMAZING app, it is SO simple, yet advanced, and SO adjustable to YOUR terms and conditions, I LOVE this app and I am NEVER going back to any other schedule 😍",2,2
"Easy to use decent integration. One major flaw in the shopping list, no way of entering quantities, schoolboy error!!",1,1
"Amazing App Now I Can Easily Remember Every Single Shopping Items, But I Can't Afford Premium 😭😭😭 Thank you So much Sir💕💕💕",2,2
I love it so far but is it usable over multiple devices? I am currently using it on my tablet and downloaded the app to my phone but when I try to sign in it says it can't find my email address.,1,1
I've always had issues with consistency and will power. It's very helpful when can see my progress. It even tracks the percentage of your success.,2,2
"I wanted to use this app. The concept is really good. But I won't use it simply because it barely functions. For starters it's online only... but as if that wasn't enough the sync on Android is just all over the place - the app would sometimes ask ""have you done these things today?"" for tasks that were scheduled the day before or at 1 AM for tasks on that day... Speaking of tasks, I couldn't set up multiple repeating tasks for certain days of the week (per task, wanted to fill the whole week with various tasks and repeat them) for some reason, they would all sync to same weekdays. I enabled reminders but never had a reminder come up once and as far as I researched online this is a common problem on Android and hasn't been resolved for some time. So it seems I have to create a habit of opening this habit tracker app...",0,0
"I like the app. Except for some reason it now says it doesn't work with my account even though I can use it everywhere else. I've done all the ""IT"" things I can think to do. But to no avail. Guess I'll be looking elsewhere now.",0,0
"I like the concept because I've been trying to gamify my free time for a while, assigning a predifined score to each habit practiced the most during every hour, and all I wanted was the positive and the negative habits to affect the same progress bar, with the possibility to keep track of a daily score, with a possibly negative value. It's a damn shame but this aint for me. I wish it was more customisable",0,0
"I have had this app for 2 years and absolutely loved it, after an update it would cut on automatically and freeze my phone. I would have to hit the open apps and close it before I could do anything with my phone. I have emailed and explained what it was doing, and I get am email wanting more explanation, so I did. several days later I get an email that wants a video showing. I don't think this will get fixed i paid for the pro version and i will not renew",0,0
It was a great application but the lastest versions don't notify anymore about events and reminders.. I'll uninstall the application because it's useless. It's ridiculous they know the problem and don't do anything to fix it,0,0
I prefer the Simplicity and organization of the old Wunderlist app over this new Microsoft app.,1,1
Has helped me to stay engaged with my to dos in a workable and fun way. Love this app.,2,2
tutorial did not explain much and too confusing to figure out the benefit of using this app.,0,0
"The concept is good but the execution lacks. There are constant issues with server sync, and since the server side has priority, updates I make on the phone regularly get wiped out. Every so often the app will prompt me to log in again when I open it...this time it just kicked me out while I was actively using it and updating a list, made me log in again, and didn't keep anything I had already done! My wife already gave up on it and I will probably look elsewhere too",0,0
Is a pretty good app but it's got a pretty big issue which is how is it going to keep track of how many things I've done every day if it counts the current activity as if it was done the last corresponding day?,1,0
Easy to use and the colors help organize my tasks,2,2
Not going to pay 3.99 for premium or whatever it is to have more than 5 habits tracked ill use you a pen and pad no problem,0,1
"Are you kidding me. I down load a ""Planner/Callander app. I go set it all up and link it and try to see the month so I know it's all right my It says I have to upgrade and pay for a month calender View. Ok... Annoying but I try 1 week. Same thing. Gotta pay. Calandar app with only 2 views for oveall use. Please don't say it's a free app or at least explain, can see all these cool features, I'll even let you go through and set up but you have to pay for all the feature",0,0
I really enjoyed the experience of using this app i like it but it doesn't work offline so I can't use it properly so please make it offline or at least se fundamental features.,1,1
The new version is so complicated loved the old one it was simple and easy and quick to use it was perfect,1,0
"Seems like a very good idea but how can i edit what i've done the previous day? Eg. If its Tuesday, it seems to be impossible to edit achievements from Monday (which seems like a perfect thing do to on Tuesday morning ;) )",2,2
Cannot get it to work on my Huawei P20. I have tried 3 times and cannot get it to sign in. It looks like it works fine on my iPad because I can sign up and get in but on my phone I am unable to do either. I needed something that I could use on both devices but am unable to get into in ob my phone,0,0
still working on use,1,1
4 zzZ z z zZ Z,2,2
"I've spent hours on it already and I'm just not getting it. Looks like most tutorials are for an older version. Can't figure out how to create shorter than 7 day Routines, what's the difference between a Routine and an Event, etc.",0,0
I just downloaded this.  The free version was definitely useful but I went ahead and got the paid version because I wanted to use the repetitive tasks and weekly planner as well.  I definitely think this will be worth the purchase.,2,2
"This app has been broken by the last update. Most of the times, whenever I try to plant a new timer, the app just hangs and I have to close it somehow. Also, the timer in the notification panel hardly updates accordingly. Please fix this!",0,0
Makes doing chores seem more achievable and really helps me see my progress in being a better human.,2,2
"WORST APP EVER! Because there is no reminder bell things, I think there is but it DOESN'T WORK! I can't even remember that I have this app! With reminder thing will be better. I SPENT TWO HOURS TO WRITE MY ROUTINE PLAN, AND I THOUGHT THERE IS REMINDER! IT'S NOT EASY TO USE THIS APP TOO! I AM DELETING THIS USELESS APP IMMEDIATELY! ALARM DOESN'T WORK AT ALL!! HOW DISAPPOINTING. 😠😠",0,0
No of activities that we can add is only 5 that's why i give this 3 🌟,1,1
Doesn't beat most others in it's free version and too costly in the paid,1,1
"Tasks that repeat more than once daily dont work, if you have something that is twice a day you have to have two separate tasks. If you leave a task pending until the following day and complete it, it will never work again.",0,0
"Setting up late events (past 11pm) is literally impossible. Start and end times/days will shift randomly when I make a change to the other.  Whenever I do manage to get both right, I get a ""Same time"" error even though clearly the start and end times are different.",1,1
"I was pretty pleased with the layout and the weekly view on the paid version, but then I started encountering problems. First of all, I used fb to sign up and I logged out of the app, and I can no longer sign in. It stays loading indefinitely. Also, on the weekly view it showed the incorrect name for the day and kept changing it. It also changed notifications randomly.",1,0
really good app really helpful. but guys if you can change the reminder Sound from notification to Alarm. plzz,1,1
The app is great for the schedule but the tasks needs work . I should be able to schedule something to repeat every day but it doesn't allow for that option. And it doesn't always register the repeats. Had to pay for the yearly subscription to find out it doesnt even work. Stick with the free version. Least youre not wasting your money. Will have to try something else for my tasks. And the developer doesn't care.,0,0
notification is a pro feature??? are you kidding me? why dont you just make this app a paid app from the start??,0,0
It is completely failing on reminders!,0,0
This app is bullocks.I downloaded it and it ran smoothly on my phone and i setup my avatar my habits and my daily task and then it just stopped working and couldn't open the app again!,2,0
A little too confusing.,1,0
Hey! The app is great but can't deal with the constant glitches and crashes. Cheers!,1,1
I have been using Artful Agenda on a desktop this year and love all it's features. Now the app makes it even more accessible. I love planning meals and mapping out my day!,2,2
"It is a great app, love the design and the possibilities. But it really needs tk have a setting to change the hour configuration from a clock to keyboard so we can edit the event and routines in a split screen.",1,2
bruh I literally have no clue how this app works,0,0
Please fix the widget. It doesn't automatically update the day. It always shows yesterdays' date. Constantly having to remove and install widget.,0,0
Very good,2,2
"Expensive, old and without any support. Also much better alternatives are available now.",0,0
The full version allows you to do this. On the free version once you have completed a task you cannot see what it was.,1,2
"Amazing app. I use it to track everything from art projects, bills, grocery lists, even my food counter!",2,2
osm app but now its update an I am not able to see my all reminders that I use to remind my self before uninstalling the app,0,0
just an unwanted extension of calendar,0,0
It's awesome!,2,2
It keeps reminding me even after the Task is done and it was adjusted according to how many times I should be notified. But overall nice app.,2,2
"Just starting and learning how to use. Unable to set correct due date on tasks. When I select that task has a due date, todays date appears. When I click that date the calendar displays. Allgood so far. But when I select a date on the calendar and close it, the due date is still today.",1,0
I love the idea but it's not working on my Samsung S10e. Like the main screen is just purple when I first open and then the features for designing my character didn't show any options. I'll happily try again once bugs are worked out. Keep us posted!,0,0
It's great,2,2
"So far, it's okay as task apps go. I'm a Wunderlist refugee because Microsoft bought them out (and they destroy everything). Perhaps Tick Tick will grow on me. We'll see.",1,1
I have searched lots of app for goal planning. This one is best of them. Easy to use.,2,2
I have reminder set for every weekday morning at a certain time. Hasn't reminded me at the right time yet. Always hours after I get it.,2,2
"A good app in general. I would love to be able to have ""loose"" tasks, for example: practice spanish twice a week. Which should be completed at least twice every week. Also, why not allow icons to be any emoji?",2,2
Really useful and easy to use.,2,2
One Of The Best App In Play Store 💜💜💜,2,2
"I totally recommend this app. It had help me on every possible way. It's really helpful if you really want to develop a new habit. I specialy like the easyness to configure the habits and the reminders; the motivational notes that you can find around are just right. But its true that is not a magic app, PLEASE if you want to create a new habit, you have to work for it, you have to work to create something. If you do that, you'll see the true colors of this magnificent app. Be true to yourself.",2,2
"Too expensive and without paying, there's no backup. There's free apps that do the same thing.",0,0
C'est très bien... mais ça devrait être moins lourd en daya,0,1
Closing and crashing when adding tasks and project. Support answering but doesn't help.,1,0
"I love this format, only thing that would make it better is some form of active side scrolling gameplay element, build your character throughout the week and then try to beat a level sort of thing",2,2
